,,G10,,,,,,,,,,Asia,,,,,,,,,,,,Europe/Africa,,,,,,,,,,,Latin America,,,,,,Middle East,,,,,,,
,,USD,EUR,JPY,GBP,CAD,AUD,NZD,CHF,NOK,SEK,CNY,CNH,HKD,INR,IDR,MYR,PHP,SGD,KRW,TWD,THB,VND,BGN,CZK,HUF,ISK,KES,NGN,PLN,RON,RUB,ZAR,TRY,ARS,BRL,CLP,COP,MXN,PEN,BHD,ILS,JOD,KWD,OMR,QAR,SAR,AED
Fr,3/16/2018,1,1.229,106.01,1.3942,1.3096,0.7713,0.7218,0.952,7.7152,8.1938,6.3348,6.3264,7.8423,64.94,13751,3.9072,51.935,1.3177,1066.3,29.193,31.185,22765,1.5914,20.6795,252.98,99.76,101.3,359.92,3.4316,3.7984,57.4928,11.9755,3.9203,20.1918,3.2808,608.26,2852.65,18.6901,3.2722,0.377050012,3.456700087,,0.299950004,0.385019988,3.64109993,3.75,3.673000097
Th,3/15/2018,1,1.2305,106.34,1.3937,1.3052,0.7798,0.7278,0.9514,7.7139,8.1798,6.3221,6.3295,7.8419,64.9312,13749,3.9177,52.035,1.3135,1065.5,29.196,31.157,22759,1.5896,20.6389,252.94,99.76,101.3,359.96,3.4241,3.7928,57.4626,11.8986,3.8957,20.3195,3.2852,605.63,2845.02,18.7006,3.2622,0.377050012,3.452100039,0.708999991,0.299950004,0.385019988,3.64109993,3.750299931,3.673000097
We,3/14/2018,1,1.2368,106.32,1.3962,1.2955,0.7877,0.7332,0.9449,7.7303,8.1831,6.318,6.3071,7.8412,64.8325,13737,3.906,52.08,1.3093,1064.55,29.253,31.13,22759,1.5814,20.5752,251.69,99.6,101.3,360.08,3.3966,3.7692,57.1418,11.7757,3.8797,20.2342,3.2607,601.17,2843.4,18.584,3.254,0.377050012,3.435600042,0.708999991,0.300000012,0.385019988,3.641299963,3.750299931,3.673000097
Tu,3/13/2018,1,1.239,106.58,1.3962,1.2966,0.786,0.7325,0.9441,7.7362,8.217,6.3217,6.3267,7.8405,64.8925,13753,3.8975,52.04,1.3121,1067.45,29.251,31.257,22760,1.5785,20.569,251.64,99.15,101.25,360.58,3.4002,3.7681,57.0352,11.8168,3.8736,20.212,3.2609,602.63,2853.3,18.6064,3.263,0.377050012,3.431600094,0.708999991,0.300179988,0.385019988,3.641000032,3.750299931,3.673000097
Mo,3/12/2018,1,1.2334,106.42,1.3906,1.2842,0.7873,0.7296,0.9476,7.7449,8.2419,6.3295,6.3247,7.8407,65.0425,13771,3.9045,52.05,1.3129,1065.15,29.277,31.315,22759,1.5856,20.6392,252.89,99.94,101.1,360.33,3.4086,3.7794,56.8847,11.8222,3.8441,20.199,3.262,603.85,2845.52,18.5882,3.2605,0.377050012,3.443500042,0.708999991,0.300300002,0.385019988,3.641299963,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,3/9/2018,1,1.2307,106.82,1.385,1.2812,0.7844,0.728,0.9513,7.7787,8.2442,6.3344,6.3306,7.8364,65.165,13786,3.9115,52.04,1.3166,1069.95,29.297,31.362,22762,1.5893,20.6825,253.33,99.94,101.3,360.08,3.4099,3.7856,56.6589,11.8149,3.8125,20.2455,3.2559,602.71,2869.52,18.6209,3.2585,0.377050012,3.443300009,,0.30035001,0.385019988,3.641299963,3.750400066,3.673000097
Th,3/8/2018,1,1.2312,106.23,1.3811,1.2896,0.7789,0.7264,0.9511,7.841,8.2691,6.3422,6.3434,7.8407,65.1475,13785,3.9085,52.04,1.3175,1070.25,29.259,31.377,22757,1.5886,20.6437,253.29,99.87,101.3,360.04,3.4147,3.7824,,11.9091,3.824,20.3612,3.2649,606.18,2874.99,18.6598,3.2582,0.377050012,3.460999966,0.708999991,0.300150007,0.385019988,3.641299963,3.750299931,3.673000097
We,3/7/2018,1,1.2411,106.07,1.3896,1.2912,0.7825,0.7283,0.9435,7.8042,8.23,6.3254,6.3199,7.8356,64.8887,13766,3.9048,51.98,1.3141,1069.1,29.25,31.325,22765,1.5759,20.4845,251.39,99.74,101.35,360.1,3.3897,3.7544,56.8042,11.8356,3.8016,20.4017,3.2437,602.69,2865.03,18.7122,3.2538,0.377050012,3.456199884,0.708999991,0.29975,0.385019988,3.64109993,3.750400066,3.673000097
Tu,3/6/2018,1,1.2404,106.13,1.3888,1.2876,0.7829,0.729,0.9407,7.7784,8.2056,6.3145,6.3105,7.8336,64.9588,13775,3.9035,52.005,1.3161,1076,29.283,31.385,22761,1.5768,20.4673,252.22,99.94,101.35,360.04,3.376,3.7579,56.6598,11.7732,3.794,20.3218,3.211,599.46,2851.26,18.7396,3.254,0.377050012,3.458400011,0.708999991,0.299879998,0.385019988,3.641299963,3.750400066,3.673000097
Mo,3/5/2018,1,1.2336,106.2,1.3849,1.2964,0.7765,0.7226,0.9399,7.8196,8.2621,6.3496,6.3349,7.832,65.1125,13763,3.9065,52.01,1.3183,1082,29.287,31.44,22760,1.5877,20.5987,254.73,100.35,101.35,360.02,3.3959,3.7773,56.4248,11.8315,3.8084,20.2101,3.2431,598.55,2855.71,18.7972,3.25,0.377050012,3.467099905,0.708999991,0.299849987,0.38499999,3.641299963,3.750400066,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,3/2/2018,1,1.2317,105.75,1.3802,1.2882,0.776,0.7236,0.9374,7.7901,8.2446,6.3454,6.3407,7.8308,,13758,3.9035,51.9,1.32,1080.35,29.283,31.46,22763,1.5877,20.5933,254.71,100.65,101.35,360.07,3.4001,3.7841,56.816,11.9236,3.8076,20.2833,3.2534,599.15,2879.77,18.8225,3.2565,0.377050012,3.445800066,,0.299950004,0.38499999,,3.750400066,3.673000097
Th,3/1/2018,1,1.2267,106.24,1.3776,1.2837,0.7756,0.7249,0.9418,7.8466,8.2489,6.3582,6.3475,7.828,65.165,13748,3.9285,51.92,1.323,,29.31,,22743,1.5943,20.734,255.6,101.58,101.25,360.07,3.4132,3.7976,56.8187,11.8917,3.8059,20.1562,3.2515,595.21,2878.5,18.8508,3.262,0.377009988,3.470999956,0.708999991,0.300449997,0.38499999,3.64109993,3.750400066,3.673000097
We,2/28/2018,1,1.2194,106.68,1.376,1.2831,0.7762,0.7212,0.9446,7.9011,8.2911,6.331,6.3311,7.8261,65.1775,13745,3.917,52.11,1.3248,1083.1,,31.385,22759,1.6039,20.8375,257.35,101.43,101.4,360.25,3.4246,3.8185,56.3433,11.7957,3.7992,20.1156,3.2477,594.28,2863.78,18.8381,3.2663,0.377009988,3.476900101,0.708999991,0.300269991,0.38499999,3.641000032,3.750299931,3.673000097
Tu,2/27/2018,1,1.2233,107.33,1.3909,1.2776,0.7789,0.7235,0.9389,7.8682,8.2253,6.3169,6.3264,7.8276,64.885,13678,3.908,52.03,1.3243,1071.25,29.222,31.37,22745,1.5989,20.7858,256.81,100.92,101.65,360.13,3.4106,3.8114,56.2795,11.7187,3.8156,20.227,3.2504,591,2857.85,18.8447,3.2525,0.377009988,3.480000019,0.708999991,0.300020009,0.384990007,3.641299963,3.750200033,3.673000097
Mo,2/26/2018,1,1.2317,106.93,1.3968,1.2681,0.7855,0.7303,0.938,7.8235,8.1512,6.3161,6.2946,7.8234,64.795,13660,3.903,51.86,1.316,1073.35,29.231,31.318,22748,1.5878,20.5918,254.66,100.67,101.75,360.33,3.3846,3.7814,55.718,11.5542,3.7861,20.1763,3.2249,587.19,2836.68,18.6785,3.2485,0.37698999,3.483099937,0.708999991,0.299870014,0.384990007,3.641000032,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,2/23/2018,1,1.2295,106.89,1.3971,1.2633,0.7843,0.7302,0.9361,7.8518,8.1731,6.3372,6.3262,7.8233,64.7287,13668,3.9185,51.9,1.3195,1078.95,29.303,31.463,22733,1.5906,20.6331,254.65,100.57,101.9,360.08,3.393,3.7847,,11.5592,3.789,19.9752,3.2387,591.44,2840.89,18.5545,3.251,0.377009988,3.487499952,,0.300220013,0.385010004,3.641299963,3.750200033,3.673000097
Th,2/22/2018,1,1.233,106.75,1.3956,1.2705,0.7846,0.7342,0.9329,7.8534,8.116,6.3527,6.3343,7.8243,65.045,13683,3.917,52.125,1.3192,1084.3,29.296,31.545,22715,1.5862,20.5633,253.9,100.57,101.75,360.33,3.3898,3.7745,56.5215,11.6632,3.7834,19.9541,3.2522,594.34,2861.8,18.6051,3.248,0.377009988,3.492899895,0.708999991,0.300220013,0.385010004,3.641000032,3.750200033,3.673000097
We,2/21/2018,1,1.2284,107.78,1.3918,1.2703,0.7804,0.7319,0.939,7.8679,8.1189,,6.3376,7.8253,64.7725,13619,3.906,52.115,1.3237,1076.15,29.218,31.485,22709,1.5918,20.6438,254.35,100.58,101.55,360.2,3.3959,3.7931,56.7519,11.6631,3.7888,19.912,3.2662,594.9,2882.23,18.837,3.25,0.377000004,3.494199991,0.708999991,0.299849987,0.385010004,3.641299963,3.750299931,3.673000097
Tu,2/20/2018,1,1.2337,107.33,1.3996,1.2648,0.7883,0.7348,0.9361,7.8409,8.0964,,6.3405,7.8245,64.79,13614,3.9035,52.24,1.3187,1073.45,,31.498,,1.5853,20.5358,252.79,100.55,101.25,360.35,3.3627,3.7773,56.5524,11.7289,3.7986,19.8639,3.2533,595.21,2861.2,18.7074,3.2515,0.377000004,3.499300003,0.708999991,0.299699992,0.385010004,3.641000032,3.750299931,3.673000097
Mo,2/19/2018,1,1.2407,106.59,1.4,1.2561,0.7913,0.7372,0.9295,7.7797,7.9845,,6.3054,7.8218,,13559,3.891,52.37,1.3135,1067.6,,31.39,,1.5764,20.3944,250.7,100.39,101.3,360.35,3.3319,3.757,56.4555,11.6702,3.7588,19.8999,3.2334,594.85,2844.3,18.5333,3.2465,0.377000004,3.506799936,0.708999991,0.299710006,0.385010004,3.641299963,3.750400066,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,2/16/2018,1,1.2406,106.21,1.4026,1.2558,0.7905,0.7386,0.927,7.781,7.9688,,6.2987,7.8209,64.215,,,,1.3112,,,31.253,,1.5764,20.441,250.94,100.1,101.3,360.3,3.3506,3.7571,56.4009,11.596,3.7471,19.7687,3.2304,593.27,2845.13,18.5249,3.2505,0.377009988,3.549499989,,0.299299985,0.38499999,,3.750400066,3.672899961
Th,2/15/2018,1,1.2506,106.13,1.4099,1.2481,0.7945,0.7407,0.922,7.766,7.9345,,6.2823,7.8203,63.91,13559,3.8943,51.997,1.3091,,,31.29,,1.5639,20.271,248.76,100.35,101.3,360.14,3.3221,3.7287,56.4065,11.6208,3.7644,19.6621,3.2313,593.34,2853.06,18.5015,3.246,0.377009988,3.535700083,0.708999991,0.299499989,0.38499999,3.64109993,3.750299931,3.673000097
We,2/14/2018,1,1.2451,107.01,1.3999,1.2493,0.7926,0.7366,0.9294,7.7999,7.9554,6.3415,6.3126,7.8224,64.0862,13629,3.9183,52.13,1.3142,1077.2,29.337,31.495,,1.571,20.3818,250.55,100.94,101.2,360.27,3.337,3.7432,56.7118,11.7164,3.7826,19.9007,3.2247,594.95,2870.05,18.5641,3.2615,0.377000004,3.524100065,0.708999991,0.29993999,0.38499999,3.641000032,3.750299931,3.673000097
Tu,2/13/2018,1,1.2352,107.82,1.3894,1.2592,0.7859,0.7274,0.9349,7.8809,8.0279,6.341,6.3338,7.8231,,13658,3.9392,51.99,1.3228,1084.55,29.354,31.502,22704,1.5834,20.5423,252.54,101.47,101.2,360.29,3.3727,3.773,57.6319,11.965,3.8096,,,597.35,2904.5,18.66,3.275,0.377009988,3.53730011,0.708999991,0.300020009,0.38499999,,3.750499964,3.673000097
Mo,2/12/2018,1,1.2292,108.66,1.3838,1.2577,0.7862,0.7264,0.9393,7.9149,8.0643,6.3275,6.3237,7.8193,64.3125,13658,3.9385,51.755,1.3231,1084.55,29.382,31.69,22691,1.5912,20.648,253.73,102.14,101.05,360.54,3.3913,3.7867,57.8288,11.9352,3.8005,,,599.28,2889.69,18.6077,3.2685,0.377009988,3.521899939,0.708999991,0.300199986,0.38499999,3.64109993,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,2/9/2018,1,1.2252,108.8,1.3827,1.2581,0.7813,0.7255,0.9386,7.9622,8.0804,6.3032,6.3115,7.8183,64.3975,13629,3.9395,51.46,1.3277,1092.05,29.401,31.737,22703,1.5965,20.7225,254.76,102.2,100.8,360.2,3.4174,3.7959,58.3869,11.9934,3.8189,19.9969,3.3021,603.83,2941.77,18.7006,3.2757,0.377009988,3.515599966,,0.300150007,0.385010004,,3.750299931,3.673000097
Th,2/8/2018,1,1.2247,108.74,1.3913,1.2603,0.7781,0.7218,0.9362,7.9276,8.1172,6.3298,6.3646,7.8212,64.2563,13605,3.9268,51.315,1.3312,1087.9,29.371,31.87,22695,1.597,20.7153,254.25,102.12,100.8,360.07,3.4225,3.8005,58.4155,12.1683,3.8227,19.961,3.2852,602.78,2887,18.8949,3.2652,0.377009988,3.518399954,0.708999991,0.300150007,0.385010004,3.641499996,3.750299931,3.673000097
We,2/7/2018,1,1.2264,109.33,1.3881,1.2568,0.7823,0.7239,0.9439,7.9065,8.0844,6.2778,6.3198,7.8182,64.285,13553,3.9088,51.13,1.3253,1086.6,29.265,31.568,22700,1.5948,20.5997,253.2,101.85,101.35,360.02,3.3994,3.796,57.6265,12.0701,3.8046,19.686,3.2713,595,2845.4,18.7994,3.2508,0.377009988,3.494699955,0.708999991,0.299980015,0.385010004,3.641299963,3.750299931,3.673000097
Tu,2/6/2018,1,1.2377,109.56,1.3949,1.2492,0.7906,0.7342,0.9359,7.8157,7.9518,6.2907,6.2819,7.8185,64.25,13555,3.9165,51.47,1.3189,1091.4,29.365,31.538,22705,1.5802,20.3868,250.37,101.27,101.75,360.52,3.3568,3.7573,56.8689,11.9192,3.77,19.5765,3.2348,599.58,2828.7,18.6077,3.2448,0.377009988,3.478899956,0.708999991,0.300119996,0.385010004,3.641599894,3.750200033,3.673000097
Mo,2/5/2018,1,1.2367,109.09,1.3959,1.2539,0.7878,0.7265,0.9317,7.837,7.9799,6.2926,6.3118,7.8207,64.065,13525,3.9,51.51,1.3217,1088.55,29.296,31.517,22705,1.5814,20.3965,250.88,100.65,101.75,359.81,3.364,3.7496,57.214,12.129,3.7905,19.4651,3.2532,601.19,2846.5,18.7848,3.238,0.377000004,3.457999945,0.708999991,0.299879998,0.384990007,3.641000032,3.750200033,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,2/2/2018,1,1.2463,110.17,1.4118,1.2429,0.7931,0.73,0.9314,7.7329,7.9028,6.3014,6.3131,7.8205,64.065,13452,3.8855,51.46,1.3198,1080.1,29.23,31.382,22716,1.5701,20.2581,248.68,100.69,101.75,360.06,3.3468,3.7296,56.55,12.0876,3.7692,19.4841,3.2196,603,2839.34,18.5949,3.2185,0.377009988,3.443799973,,0.299780011,0.384990007,3.641299963,3.750099897,3.673000097
Th,2/1/2018,1,1.251,109.4,1.4264,1.2268,0.8039,0.7397,0.9265,7.6428,7.841,6.2994,6.2913,7.8196,64.0225,13426,,51.59,1.3082,1072,29.201,31.35,22710,1.5637,20.138,247.05,100.09,101.9,360.06,3.3211,3.7197,55.9159,11.8579,3.7316,19.3682,3.1704,596.85,2790.77,18.3447,3.2115,0.377009988,3.428499937,0.708999991,0.299670011,0.384990007,3.641299963,3.750099897,3.673000097
We,1/31/2018,1,1.2414,109.19,1.4191,1.2315,0.8055,0.7365,0.9313,7.7088,7.879,6.2888,6.2985,7.8229,63.5863,13389,,51.295,1.3121,1067.75,29.144,31.327,22705,1.5755,20.359,249.74,100.2,102.35,360.41,3.3446,3.7456,56.2173,11.8514,3.7554,19.6381,3.1869,601.2,2826.71,18.5999,3.216,0.377000004,3.41989994,0.708999991,0.299699992,0.384990007,3.641400099,3.750099897,3.673000097
Tu,1/30/2018,1,1.2402,108.78,1.4147,1.2336,0.8083,0.7331,0.9348,7.7214,7.8904,6.3239,6.3281,7.8208,63.61,13434,3.8985,51.42,1.312,1073.75,29.226,31.433,22705,1.577,20.4031,250.62,100.72,102.35,360,3.3525,3.7507,56.378,11.9643,3.7809,19.6305,3.1814,607.36,2849.1,18.76,3.2165,0.376969993,3.418499947,0.708999991,0.29975,0.384979993,3.641000032,3.750200033,3.673000097
Mo,1/29/2018,1,1.2383,108.96,1.4074,1.234,0.8094,0.7323,0.9375,7.7111,7.8929,6.3405,6.3381,7.8175,63.5875,13364,3.8818,51.185,1.3103,1065.5,29.146,31.423,22713,1.5795,20.434,250.36,101,102.35,360.41,3.3484,3.759,56.3197,11.9416,3.7933,19.5866,3.1553,603.75,2846.5,18.6071,3.2155,0.376949996,3.398400068,0.708999991,0.299849987,0.384979993,3.641299963,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,1/26/2018,1,1.2427,108.58,1.416,1.2308,0.811,0.735,0.9324,7.6903,7.8682,6.3283,6.3263,7.8181,,13311,3.8705,50.855,1.3074,1063.9,29.094,31.36,22710,1.5739,20.3741,248.92,100.37,102.4,360.05,3.3243,3.7567,56.2681,11.8623,3.7514,19.5708,3.1482,601.73,2810.95,18.4901,3.2153,0.37650001,3.390000105,,0.299849987,0.384990007,3.641400099,3.750299931,3.673000097
Th,1/25/2018,1,1.2396,109.41,1.4142,1.2377,0.8026,0.7325,0.9407,7.7426,7.9223,6.3264,6.3295,7.8176,63.5425,13289,3.8855,50.81,1.31,1058.65,29.064,31.448,22696,1.5777,20.4529,249.41,100.38,102.45,360.25,3.3422,3.7705,55.9265,11.8689,3.751,19.5799,3.1325,598.82,2790.5,18.6043,3.2105,0.376540005,3.39199996,0.708999991,0.299849987,0.384990007,3.641499996,3.750299931,3.673000097
We,1/24/2018,1,1.2408,109.22,1.4242,1.2348,0.8062,0.7337,0.9453,7.7477,7.9267,6.3575,6.3495,7.8183,63.6925,13314,3.913,50.97,1.3073,1070.15,29.296,31.635,22724,1.5763,20.4575,249.29,101.69,102.45,360.49,3.3461,3.7462,56.1785,11.8568,3.7387,19.663,3.142,602.99,2812.77,18.5003,3.2135,0.37698999,3.411499977,0.708999991,0.299860001,0.384979993,3.641299963,3.750200033,3.673000097
Tu,1/23/2018,1,1.2299,110.31,1.4,1.2419,0.8,0.7355,0.9577,7.8237,8.0075,6.4047,6.3987,7.8189,63.7787,13325,3.9265,51.11,1.3174,1070.15,29.316,31.835,22699,1.5903,20.6453,251.47,102.42,102.75,359.81,3.3878,3.7953,56.3571,12.0324,3.7675,19.3407,3.2394,609.2,2855.19,18.697,3.2192,0.377000004,3.40809989,0.708999991,0.300370008,0.384979993,3.64109993,3.750200033,3.673000097
Mo,1/22/2018,1,1.2262,110.92,1.3987,1.2444,0.8017,0.7328,0.9618,7.8532,8.0193,6.405,6.4029,7.8184,63.87,13348,3.9327,50.835,1.319,1070.1,29.427,31.838,22698,1.595,20.7192,252.48,102.91,102.9,360.5,3.3994,3.8059,56.5057,12.0505,3.7752,19.1465,3.2041,606.1,2851.54,18.6832,3.2135,0.377029985,3.415299892,0.708999991,0.300559998,0.384990007,3.641599894,3.750099897,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,1/19/2018,1,1.2222,110.77,1.3858,1.2493,0.7995,0.7277,0.9628,7.8637,8.0531,6.404,6.4004,7.8171,63.845,13313,3.9372,50.73,1.3208,1065.9,29.425,31.875,22698,1.6004,20.7724,252.93,103.03,102.9,360.25,3.4141,3.8137,56.7168,12.1962,3.8065,18.9906,3.1962,608.13,2849.3,18.6353,3.2164,0.377029985,3.433199883,,0.300550014,,3.641299963,3.750200033,3.673000097
Th,1/18/2018,1,1.2238,111.11,1.3894,1.2418,0.8001,0.7301,0.9589,7.8471,8.0188,6.42,6.4215,7.817,63.86,13347,3.955,50.805,1.3209,1070.5,29.559,31.938,22725,1.5981,20.7187,251.93,102.71,102.9,360.1,3.4009,3.802,56.5163,12.1314,3.7681,18.873,3.2115,605.4,2841.75,18.605,3.2137,0.377029985,3.417900085,0.708999991,0.300799996,0.384990007,3.641299963,3.750299931,3.673000097
We,1/17/2018,1,1.2186,111.29,1.3831,1.2438,0.797,0.7273,0.9659,7.8805,8.0509,6.4343,6.4326,7.8182,63.89,13360,3.9535,50.723,1.3246,1069.25,29.556,31.947,22698,1.6049,20.8227,253.2,102.99,103.1,360.49,3.4191,3.8134,56.7695,12.2989,3.8186,18.8569,3.2228,605.96,2847.8,18.7157,3.212,0.37698999,3.443500042,0.708999991,0.300559998,0.384990007,3.641299963,3.750299931,3.673000097
Tu,1/16/2018,1,1.226,110.45,1.3792,1.2435,0.7961,0.7268,0.9595,7.8753,8.0405,6.444,6.4369,7.8229,64.0425,13338,3.9575,50.498,1.3207,1062.65,29.551,31.978,22706,1.5955,20.7385,251.82,102.81,103.1,360.49,3.4022,3.7979,56.5255,12.2813,3.7968,18.893,3.2244,,2866.36,18.7682,3.2102,0.377000004,3.430799961,0.708999991,0.300680012,0.384979993,3.641299963,3.750299931,3.673000097
Mo,1/15/2018,1,1.2264,110.54,1.3792,1.2429,0.7965,0.73,0.9631,7.8824,8.0216,6.4371,6.4305,7.8235,63.4925,13335,3.9555,50.37,1.3212,1062.7,29.538,31.903,22698,1.5948,20.8166,251.85,102.56,103.1,360.35,3.4028,3.7821,56.333,12.3063,3.7988,18.7352,3.2158,602.58,2839.5,18.8566,3.2105,0.377000004,3.398999929,0.708999991,0.300669998,0.384979993,3.641000032,3.750400066,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,1/12/2018,1,1.2202,111.06,1.3728,1.2459,0.7917,0.7242,0.9673,7.9203,8.0495,6.469,6.4611,7.8224,63.6287,13354,3.972,50.39,1.3244,1064.9,29.595,31.967,22707,1.6037,20.9067,253.02,103.19,103.1,359.99,3.4179,3.7971,56.6427,12.3668,3.7489,18.686,3.2055,603.19,2859.18,19.0371,3.2165,0.377050012,3.393399954,,0.301160008,0.38499999,3.641000032,3.750299931,3.673000097
Th,1/11/2018,1,1.2032,111.26,1.3538,1.2519,0.7892,0.7261,0.9758,8.0137,8.132,6.5063,6.4907,7.823,63.665,13400,3.9875,50.39,1.3294,1072.1,29.616,32.01,22700,1.6255,21.2038,256.65,104.04,103.1,359.99,3.4636,3.8565,56.4286,12.3913,3.7745,18.705,3.2146,606.19,2856.73,19.2721,3.2185,0.376960009,3.418100119,0.708999991,0.301459998,0.38499999,3.641000032,3.750299931,3.673000097
We,1/10/2018,1,1.1948,111.44,1.3507,1.2547,0.7843,0.7198,0.9782,8.0739,8.2009,6.5082,6.523,7.8225,63.5975,13436,4.0048,50.395,1.3343,1071.85,29.597,32.14,22698,1.6369,21.3943,258.94,104.45,103.2,360.67,3.4945,3.8828,57.022,12.4359,3.7998,18.6319,3.2354,609.32,2890.5,19.2948,3.2224,0.377029985,3.425699949,0.708999991,0.301499993,0.384499997,3.641000032,3.750499964,3.673000097
Tu,1/9/2018,1,1.1937,112.65,1.354,1.2464,0.7824,0.7163,0.983,8.1007,8.2301,6.5297,6.535,7.8208,63.7162,13438,4.0095,50.295,1.3356,1067.1,29.535,32.252,22699,1.6385,21.4035,259.27,105.07,103.2,360.33,3.5095,3.8926,57.0073,12.3449,3.7696,18.9135,3.2495,608.05,2910.2,19.2399,3.2185,0.377029985,3.442899942,0.708999991,0.301679999,0.384979993,3.64109993,3.7506001,3.673000097
Mo,1/8/2018,1,1.1967,113.09,1.3568,1.2421,0.7842,0.7176,0.9772,8.0779,8.2024,6.4998,6.4972,7.8209,63.505,13427,3.998,50.14,1.3325,1066.1,29.518,32.198,22701,1.6344,21.383,258.23,104.52,103.25,359.99,3.4864,3.8847,,12.385,3.7456,19.0186,3.2369,605.38,,19.2256,3.2157,0.377050012,3.447099924,0.708999991,0.301459998,0.384979993,3.641000032,3.750499964,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,1/5/2018,1,1.2029,113.05,1.3571,1.2412,0.7864,0.7173,0.9747,8.0512,8.1578,6.4884,6.4785,7.8196,63.3713,13416,3.9975,49.86,1.3264,1062.75,29.519,32.228,22698,1.6258,21.23,256.42,103.82,103.25,359.99,3.4524,3.8568,56.9902,12.312,3.7353,18.883,3.229,605.74,2905.65,19.1793,3.2125,0.377099991,3.433000088,,0.301499993,0.384959996,3.641000032,3.750299931,3.673000097
Th,1/4/2018,1,1.2068,112.75,1.3551,1.2487,0.7864,0.7154,0.9742,8.0675,8.1367,6.4935,6.492,7.8174,63.41,13424,4.0065,49.815,1.3279,1062.15,29.58,32.23,22709,1.6207,21.153,255.41,103.82,103.25,359.99,3.438,3.8385,56.8667,12.3039,3.7481,18.63,3.2308,605.42,2887.69,19.2893,3.21,0.37707001,3.446099997,0.708999991,0.301389992,0.384979993,3.64109993,3.750499964,3.673000097
We,1/3/2018,1,1.2015,112.51,1.3516,1.2536,0.7836,0.7092,0.9771,8.1047,8.1767,6.503,6.4957,7.8167,63.535,13478,4.0145,49.81,1.3299,1064.55,29.59,32.307,22698,1.6281,21.2288,256.92,104.17,103.25,360.49,3.4541,3.8478,57.2418,12.3663,3.7818,18.4457,3.2385,606.99,2902.8,19.3498,3.218,0.377029985,3.450999975,0.708999991,0.30151999,0.384900004,3.640899897,3.750299931,3.673000097
Tu,1/2/2018,1,1.2059,112.29,1.359,1.2512,0.783,0.7105,0.9717,8.1281,8.168,6.493,6.5015,7.815,63.4812,13518,4.0195,,1.3293,1061.2,29.624,,22709,1.622,21.1511,256.32,103.79,103.25,359.99,3.4517,3.8497,,12.4589,3.7668,18.4012,3.2619,606.67,2932.5,19.5401,,0.377099991,3.455699921,0.708999991,0.301450014,0.384900004,3.64109993,3.750299931,3.673000097
Mo,1/1/2018,1,1.2012,112.63,1.3503,1.2545,0.7805,0.7105,0.975,8.195,8.1758,,6.5163,7.8139,63.675,,,,,,,,,1.6297,21.262,,,,359.99,,3.8955,,,3.791,,,,,,,0.377270013,3.47390008,,,0.384499997,,3.750099897,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,12/29/2017,1,1.2005,112.69,1.3513,1.2571,0.7809,0.7098,0.9743,8.2042,8.1833,6.5067,6.5143,7.814,63.8713,13568,4.0465,49.92,1.336,,29.8,32.58,22698,1.6298,21.2901,258.91,103.43,103.18,359.99,3.4841,3.8893,57.6258,12.3828,3.7982,18.6232,3.3085,615.44,,19.659,3.2374,0.377099991,3.475300074,,0.301560014,0.384900004,3.641200066,3.751399994,3.673500061
Th,12/28/2017,1,1.1943,112.87,1.3443,1.257,0.7794,0.7084,0.9786,8.2514,8.2454,6.5335,6.5309,7.8157,64.08,13562,4.0667,50.02,1.3378,1070.65,29.798,32.655,22704,1.6377,21.418,259.46,104.76,103.25,359.99,3.4969,3.8976,57.5187,12.3531,3.775,19.18,3.3132,614.91,2986.84,19.7213,3.2405,0.377099991,3.471299887,0.708999991,0.301770002,0.384920001,3.640899897,3.750299931,3.672899961
